splicing_case	sample_id	control_id	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
SE	BS_W7MFJZ5A	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	1024	4	NA	NA	200	100	NA	NA	0.992	NA	NA
SE	BS_W7MFJZ5A	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	996	13	NA	NA	191	100	NA	NA	0.976	NA	NA
SE	BS_W7MFJZ5A	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	924	4	NA	NA	200	100	NA	NA	0.991	NA	NA
A3SS	BS_QX5KC0SM	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	270	2	NA	NA	300	150	NA	NA	0.985	NA	NA
RI	BS_QX5KC0SM	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	28	186	NA	NA	300	150	NA	NA	0.07	NA	NA
RI	BS_QX5KC0SM	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	79	9	NA	NA	300	150	NA	NA	0.8140000000000001	NA	NA
SE	BS_QX5KC0SM	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	339	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_QX5KC0SM	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	442	2	NA	NA	300	150	NA	NA	0.991	NA	NA
SE	BS_QX5KC0SM	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	371	9	NA	NA	241	150	NA	NA	0.9620000000000001	NA	NA
SE	BS_QX5KC0SM	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	298	1	NA	NA	300	150	NA	NA	0.993	NA	NA
A3SS	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	300	6	NA	NA	300	150	NA	NA	0.9620000000000001	NA	NA
MXE	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200857717	200857884	200857972	200858089	NA	NA	200856890	200856985	200859679	200859746	NA	NA	NA	NA	NA	NA	211	197	NA	NA	267	300	NA	NA	0.546	NA	NA
RI	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	42	196	NA	NA	300	150	NA	NA	0.09699999999999999	NA	NA
RI	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	178	42	NA	NA	300	150	NA	NA	0.679	NA	NA
SE	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	387	1	NA	NA	233	150	NA	NA	0.996	NA	NA
SE	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	471	6	NA	NA	300	150	NA	NA	0.975	NA	NA
SE	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	200857972	200858089	NA	NA	NA	NA	NA	NA	200856890	200857884	200859679	200859746	NA	NA	NA	NA	NA	NA	478	1	NA	NA	267	150	NA	NA	0.996	NA	NA
SE	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	187	42	NA	NA	241	150	NA	NA	0.735	NA	NA
SE	BS_ZWJZNM00	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	292	1	NA	NA	300	150	NA	NA	0.993	NA	NA
A3SS	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	134	7	NA	NA	300	150	NA	NA	0.905	NA	NA
A5SS	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200857717	200857884	200856681	200856811	65	3	NA	NA	300	150	NA	NA	0.915	NA	NA
MXE	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200856890	200856985	200857717	200857884	NA	NA	200856681	200856811	200857972	200858089	NA	NA	NA	NA	NA	NA	133	48	NA	NA	300	245	NA	NA	0.6940000000000001	NA	NA
RI	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	8	88	NA	NA	300	150	NA	NA	0.043	NA	NA
RI	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	19	41	NA	NA	300	150	NA	NA	0.188	NA	NA
SE	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	171	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200856985	NA	NA	NA	NA	NA	NA	200856681	200856811	200857717	200857884	NA	NA	NA	NA	NA	NA	129	3	NA	NA	245	150	NA	NA	0.963	NA	NA
SE	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	218	7	NA	NA	300	150	NA	NA	0.94	NA	NA
SE	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	63	41	NA	NA	241	150	NA	NA	0.489	NA	NA
SE	BS_9ST3SFPR	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	138	2	NA	NA	300	150	NA	NA	0.972	NA	NA
MXE	BS_NB5XWMJT	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	23	25	NA	NA	233	230	NA	NA	0.47600000000000003	NA	NA
RI	BS_NB5XWMJT	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	22	22	NA	NA	300	150	NA	NA	0.33299999999999996	NA	NA
SE	BS_NB5XWMJT	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200855003	200855086	NA	NA	NA	NA	NA	NA	80	1	NA	NA	230	150	NA	NA	0.981	NA	NA
SE	BS_NB5XWMJT	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	77	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_NB5XWMJT	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	124	22	NA	NA	241	150	NA	NA	0.778	NA	NA
SE	BS_NB5XWMJT	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	209	2	NA	NA	300	150	NA	NA	0.981	NA	NA
A3SS	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	218	7	NA	NA	300	150	NA	NA	0.94	NA	NA
MXE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	66	82	NA	NA	233	230	NA	NA	0.44299999999999995	NA	NA
RI	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	38	147	NA	NA	300	150	NA	NA	0.114	NA	NA
RI	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	50	50	NA	NA	300	150	NA	NA	0.33299999999999996	NA	NA
SE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200855003	200855086	NA	NA	NA	NA	NA	NA	288	3	NA	NA	230	150	NA	NA	0.9840000000000001	NA	NA
SE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	271	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200856985	NA	NA	NA	NA	NA	NA	200856681	200856811	200857972	200858089	NA	NA	NA	NA	NA	NA	102	1	NA	NA	245	150	NA	NA	0.9840000000000001	NA	NA
SE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200857884	NA	NA	NA	NA	NA	NA	200856681	200856811	200857972	200858089	NA	NA	NA	NA	NA	NA	298	1	NA	NA	300	150	NA	NA	0.993	NA	NA
SE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	348	7	NA	NA	300	150	NA	NA	0.961	NA	NA
SE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	113	50	NA	NA	241	150	NA	NA	0.584	NA	NA
SE	BS_P9AVWGMB	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	220	4	NA	NA	300	150	NA	NA	0.965	NA	NA
MXE	BS_6M2053M0	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	151	199	NA	NA	183	180	NA	NA	0.42700000000000005	NA	NA
RI	BS_6M2053M0	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	9	127	NA	NA	200	100	NA	NA	0.034	NA	NA
RI	BS_6M2053M0	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	65	21	NA	NA	200	100	NA	NA	0.607	NA	NA
SE	BS_6M2053M0	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200855003	200855086	NA	NA	NA	NA	NA	NA	436	1	NA	NA	180	100	NA	NA	0.996	NA	NA
SE	BS_6M2053M0	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	387	0	NA	NA	183	100	NA	NA	1	NA	NA
SE	BS_6M2053M0	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	125	21	NA	NA	191	100	NA	NA	0.757	NA	NA
SE	BS_6M2053M0	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	194	2	NA	NA	200	100	NA	NA	0.98	NA	NA
MXE	BS_AG3D3435	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	51	67	NA	NA	233	230	NA	NA	0.429	NA	NA
RI	BS_AG3D3435	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	11	53	NA	NA	300	150	NA	NA	0.094	NA	NA
RI	BS_AG3D3435	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	53	32	NA	NA	300	150	NA	NA	0.45299999999999996	NA	NA
SE	BS_AG3D3435	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200855003	200855086	NA	NA	NA	NA	NA	NA	184	2	NA	NA	230	150	NA	NA	0.9840000000000001	NA	NA
SE	BS_AG3D3435	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	167	1	NA	NA	233	150	NA	NA	0.991	NA	NA
SE	BS_AG3D3435	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	207	32	NA	NA	241	150	NA	NA	0.8009999999999999	NA	NA
SE	BS_AG3D3435	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	315	0	NA	NA	300	150	NA	NA	1	NA	NA
RI	BS_C0XFDP38	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	21	84	NA	NA	300	150	NA	NA	0.111	NA	NA
RI	BS_C0XFDP38	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	62	63	NA	NA	300	150	NA	NA	0.33	NA	NA
SE	BS_C0XFDP38	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	453	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_C0XFDP38	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	653	63	NA	NA	241	150	NA	NA	0.866	NA	NA
SE	BS_C0XFDP38	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	886	0	NA	NA	300	150	NA	NA	1	NA	NA
RI	BS_B741RZY9	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	3	40	NA	NA	300	150	NA	NA	0.036000000000000004	NA	NA
RI	BS_B741RZY9	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	26	40	NA	NA	300	150	NA	NA	0.245	NA	NA
SE	BS_B741RZY9	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	310	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_B741RZY9	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	486	40	NA	NA	241	150	NA	NA	0.883	NA	NA
SE	BS_B741RZY9	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	604	0	NA	NA	300	150	NA	NA	1	NA	NA
A3SS	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	354	10	NA	NA	300	150	NA	NA	0.9470000000000001	NA	NA
MXE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	99	118	NA	NA	233	230	NA	NA	0.45299999999999996	NA	NA
MXE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200856890	200856985	200857972	200858089	NA	NA	200856681	200856811	200859679	200859746	NA	NA	NA	NA	NA	NA	282	180	NA	NA	267	245	NA	NA	0.59	NA	NA
RI	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	77	222	NA	NA	300	150	NA	NA	0.14800000000000002	NA	NA
RI	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200859679	200861466	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	165	87	NA	NA	300	150	NA	NA	0.48700000000000004	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200853902	200853993	NA	NA	NA	NA	NA	NA	200853008	200853449	200856681	200856811	NA	NA	NA	NA	NA	NA	173	2	NA	NA	241	150	NA	NA	0.982	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200855003	200855086	NA	NA	NA	NA	NA	NA	459	2	NA	NA	230	150	NA	NA	0.993	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200854615	200854695	NA	NA	NA	NA	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	118	1	NA	NA	230	150	NA	NA	0.987	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	99	1	NA	NA	233	150	NA	NA	0.985	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200855003	200855086	NA	NA	NA	NA	NA	NA	200854615	200854695	200856681	200856811	NA	NA	NA	NA	NA	NA	439	0	NA	NA	233	150	NA	NA	1	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200856985	NA	NA	NA	NA	NA	NA	200856681	200856811	200857972	200858089	NA	NA	NA	NA	NA	NA	188	1	NA	NA	245	150	NA	NA	0.991	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200856985	NA	NA	NA	NA	NA	NA	200856681	200856811	200859679	200859746	NA	NA	NA	NA	NA	NA	180	5	NA	NA	245	150	NA	NA	0.9570000000000001	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200856890	200857884	NA	NA	NA	NA	NA	NA	200856681	200856811	200857972	200858089	NA	NA	NA	NA	NA	NA	494	1	NA	NA	300	150	NA	NA	0.996	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200857717	200857884	NA	NA	NA	NA	NA	NA	200856890	200856985	200857972	200858089	NA	NA	NA	NA	NA	NA	533	10	NA	NA	300	150	NA	NA	0.9640000000000001	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200857972	200858089	NA	NA	NA	NA	NA	NA	200856681	200856811	200859679	200859746	NA	NA	NA	NA	NA	NA	282	5	NA	NA	267	150	NA	NA	0.9690000000000001	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200857972	200858089	NA	NA	NA	NA	NA	NA	200856890	200856985	200859679	200859746	NA	NA	NA	NA	NA	NA	291	2	NA	NA	267	150	NA	NA	0.988	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200860124	200860215	NA	NA	NA	NA	NA	NA	200859679	200859746	200861237	200861466	NA	NA	NA	NA	NA	NA	232	87	NA	NA	241	150	NA	NA	0.624	NA	NA
SE	BS_FEZDS3WA	NA	ENSG00000013441.17	CLK1	chr2	-	200861701	200861862	NA	NA	NA	NA	NA	NA	200859679	200861466	200864563	200864656	NA	NA	NA	NA	NA	NA	464	5	NA	NA	300	150	NA	NA	0.9790000000000001	NA	NA
A3SS	BS_FWMJPKCV	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857972	200858089	657	1	NA	NA	300	150	NA	NA	0.997	NA	NA
MXE	BS_FWMJPKCV	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	200854615	200854695	200855003	200855086	NA	NA	200853902	200853993	200856681	200856811	NA	NA	NA	NA	NA	NA	282	313	NA	NA	233	230	NA	NA	0.47100000000000003	NA	NA
RI	BS_FWMJPKCV	NA	ENSG00000013441.17	CLK1	chr2	-	NA	NA	NA	NA	NA	NA	200856890	200857884	200856890	200856985	200857717	200857884	NA	NA	NA	NA	NA	NA	79	419	NA	NA	300	150	NA	NA	0.086	NA	NA
