gene	transcript	cell_lines	overall_direction	myeloid_direction	myeloid_corr	myeloid_pval	myeloid_n	cns_direction	cns_corr	cns_pval	cns_n
ANKHD1	ANKHD1 (ENST00000432301)	Both	positive (concordant)	positive	0.37551333706186546	0.026219407960417492	72	positive	0.37226785606380514	5.733001288308971e-4	173
ANKRD12	ANKRD12 (ENST00000262126)	Both	positive (concordant)	positive	0.35363967356068876	0.03715498559041516	72	positive	0.333568794702019	0.0021953770075228743	173
ANKRD12	ANKRD12 (ENST00000400020)	Both	positive (concordant)	positive	0.4567288401079802	0.005815311700853695	72	positive	0.31323254613244444	0.004165095480677102	173
ANKRD13C	ANKRD13C (ENST00000262346)	Both	positive (concordant)	positive	0.3382504911215652	0.04687150709290121	72	positive	0.3727501302292789	5.631794023448085e-4	173
ANKRD49P1	ANKRD49P1 (ENST00000440417)	Both	positive (concordant)	positive	0.5681027764460692	3.709542559700451e-4	72	positive	0.44621695456923194	2.6497460331351685e-5	173
ANKS3	ANKS3 (ENST00000590730)	Both	positive (concordant)	positive	0.5426087047535001	7.583560245420646e-4	72	positive	0.32591264675184345	0.0028081334498135414	173
ANXA7	ANXA7 (ENST00000492380)	Both	positive (concordant)	positive	0.3686939918434821	0.029299200435911	72	positive	0.3101236671369952	0.0045762219548222995	173
AP001992.2	AP001992.2 (ENST00000655254)	Both	positive (concordant)	positive	0.3582425100543292	0.034590170693918836	72	positive	0.30653972960892484	0.005094594488751176	173
AP1G1	AP1G1 (ENST00000299980)	Both	positive (concordant)	positive	0.4715694082020437	0.004240579501632172	72	positive	0.3675119605394364	6.82381505431686e-4	173
AP1G1	AP1G1 (ENST00000570297)	Both	positive (concordant)	positive	0.38686807776726617	0.021685429664478364	72	positive	0.341055285594445	0.0017152910640377066	173
AP3M1	AP3M1 (ENST00000372745)	Both	positive (concordant)	positive	0.34110309912557507	0.04493110787784118	72	positive	0.31186327732881236	0.004341937011987039	173
AP4B1-AS1	AP4B1-AS1 (ENST00000419536)	Both	positive (concordant)	positive	0.3391739794449921	0.04623611034942248	72	positive	0.332433684867566	0.0022778764035894313	173
AP5S1	AP5S1 (ENST00000615891)	Both	positive (concordant)	positive	0.35485230108560545	0.03646476131653807	72	positive	0.37273361396327376	5.635232861751373e-4	173
APPBP2	APPBP2 (ENST00000592995)	Both	positive (concordant)	positive	0.36628554118684215	0.030455389591987507	72	positive	0.361355364767333	8.516373943582882e-4	173
ARAP1-AS2	ARAP1-AS2 (ENST00000500163)	Both	positive (concordant)	positive	0.39358320679959946	0.01932478089620511	72	positive	0.3179557875983941	0.0036032497859657463	173
ARPP19	ARPP19 (ENST00000561650)	Both	positive (concordant)	positive	0.4524165884028162	0.006357959798805795	72	positive	0.3868240286414036	3.308246259263733e-4	173
ASB6	ASB6 (ENST00000277458)	Both	positive (concordant)	positive	0.3495131380227627	0.03958365030330194	72	positive	0.42363033758031515	7.318337674414087e-5	173
ASCC2	ASCC2 (ENST00000397771)	Both	positive (concordant)	positive	0.41531878609316236	0.013099921059918964	72	positive	0.3304074265086094	0.0024320961930623585	173
ASS1P2	ASS1P2 (ENST00000439895)	Both	positive (concordant)	positive	0.6168358267620458	7.937857635833316e-5	72	positive	0.3658673603584548	7.243003129971303e-4	173
ASXL1	ASXL1 (ENST00000646985)	Both	positive (concordant)	positive	0.4582894747599936	0.005628983918941723	72	positive	0.3037517918975027	0.005533175366575725	173
ATF2	ATF2 (ENST00000264110)	Both	positive (concordant)	positive	0.4486421736778298	0.0068680202386203785	72	positive	0.33865030180752226	0.0018580290598589641	173
ATF2	ATF2 (ENST00000345739)	Both	positive (concordant)	positive	0.4290052026522132	0.010124296529797405	72	positive	0.4751487209198092	6.463786661287268e-6	173
ATG7	ATG7 (ENST00000446110)	Both	discordant	negative	-0.3349410044591017	0.04920631340468362	72	positive	0.3437347682875674	0.0015679734198259592	173
ATP13A3	ATP13A3 (ENST00000645538)	Both	positive (concordant)	positive	0.5168916741737073	0.0014763715962178353	72	positive	0.3134265602380886	0.00414056407000276	173
ATP6V0D1	ATP6V0D1 (ENST00000564788)	Both	positive (concordant)	positive	0.497935135474061	0.002335783133547342	72	positive	0.32785879923053	0.002639352342464189	173
ATP8A2	ATP8A2 (ENST00000682580)	Both	discordant	positive	0.3408797199366052	0.04508068488297407	72	negative	-0.32734098366327125	0.0026833481013827467	173
ATPSCKMT	ATPSCKMT (ENST00000510047)	Both	positive (concordant)	positive	0.3345718047527161	0.049472447851868974	72	positive	0.33562118313747	0.0020530026916593647	173
ATRX	ATRX (ENST00000460639)	Both	positive (concordant)	positive	0.3406478122585252	0.04523639589638359	72	positive	0.3247298283494755	0.002915377530994636	173
ATXN1L	ATXN1L (ENST00000427980)	Both	positive (concordant)	positive	0.34830523708161626	0.040318363591519836	72	positive	0.359330793781423	9.151348476198015e-4	173
ATXN2L	ATXN2L (ENST00000564035)	Both	positive (concordant)	positive	0.4281899500742062	0.01028385061565247	72	positive	0.42986282894722877	5.568884275466999e-5	173
BCL7B	BCL7B (ENST00000481667)	Both	positive (concordant)	positive	0.34406701888094365	0.04298394984889876	72	positive	0.3064482038022214	0.0051084882557203256	173
BCLAF1	BCLAF1 (ENST00000527536)	Both	positive (concordant)	positive	0.42601507534886995	0.01071997140786109	72	positive	0.36411599396979466	7.715094093727369e-4	173
BFAR	BFAR (ENST00000261658)	Both	positive (concordant)	positive	0.37975169326844943	0.0244434031096863	72	positive	0.3985968335820966	2.080850387726855e-4	173
BIRC6	BIRC6 (ENST00000471232)	Both	positive (concordant)	positive	0.4714305751360923	0.004253399324037408	72	positive	0.41283699123475065	1.1600350566161556e-4	173
BPTF	BPTF (ENST00000577837)	Both	positive (concordant)	positive	0.3459020456707265	0.04181290589814995	72	positive	0.30441788143896387	0.005425457230965435	173
BPTF	BPTF (ENST00000578307)	Both	positive (concordant)	positive	0.4406408142298187	0.0080661826974995	72	positive	0.38883111409848004	3.0605388869690825e-4	173
BRAT1	BRAT1 (ENST00000421712)	Both	positive (concordant)	positive	0.3972458597579539	0.0181301414164431	72	positive	0.32013857820148983	0.003367248861542461	173
BRD2	BRD2 (ENST00000464592)	Both	positive (concordant)	positive	0.35959710073890716	0.033863453703628865	72	positive	0.35626105707799394	0.0010196498703660616	173
BRD4	BRD4 (ENST00000595926)	Both	positive (concordant)	positive	0.4123016151239092	0.013846702129223159	72	positive	0.30060073292475126	0.006068838555429977	173
BTBD7	BTBD7 (ENST00000554644)	Both	positive (concordant)	positive	0.5104528776021452	0.0017304118628799533	72	positive	0.34344606544796435	0.0015832776259149697	173
BZW1	BZW1 (ENST00000410110)	Both	positive (concordant)	positive	0.3954577138748912	0.01870543641096622	72	positive	0.37220094964016576	5.747172356966878e-4	173
C10orf67	C10orf67 (ENST00000323327)	Both	positive (concordant)	positive	0.3355028020186987	0.04880354524805955	72	positive	0.35568309594644737	0.001040499304867682	173
C11orf95	C11orf95 (ENST00000433688)	Both	positive (concordant)	positive	0.4394715621053533	0.008255391578209101	72	positive	0.3409117274031028	0.0017235253374793791	173
C12orf73	C12orf73 (ENST00000651157)	Both	positive (concordant)	positive	0.3578790830103851	0.03478728955107187	72	positive	0.3762397587725853	4.946747917159313e-4	173
C12orf75	C12orf75 (ENST00000546866)	Both	positive (concordant)	positive	0.3460038687367604	0.041748688004185	72	positive	0.3017793072940286	0.005863347854400981	173
C16orf70	C16orf70 (ENST00000219139)	Both	positive (concordant)	positive	0.5112585724834429	0.001696658883959348	72	positive	0.4457297915751722	2.7105253881294706e-5	173
C17orf80	C17orf80 (ENST00000268942)	Both	positive (concordant)	positive	0.43122080029369153	0.009701254718839534	72	positive	0.31474279989620785	0.003977505700327681	173
C1orf109	C1orf109 (ENST00000464178)	Both	positive (concordant)	positive	0.4799085609224257	0.003529297494117737	72	positive	0.4088308806499405	1.3709344240578017e-4	173
C2orf42	C2orf42 (ENST00000428010)	Both	positive (concordant)	positive	0.4209591551175848	0.011794753809705814	72	positive	0.31092902969386754	0.004466397167276443	173
C2orf49	C2orf49 (ENST00000258457)	Both	positive (concordant)	positive	0.36122670719446187	0.033005738333753656	72	positive	0.35765607018734175	9.708797021077857e-4	173
C5orf24	C5orf24 (ENST00000508791)	Both	positive (concordant)	positive	0.5219708340611762	0.001299703230702387	72	positive	0.30795577538865526	0.004883865204686851	173
C5orf51	C5orf51 (ENST00000381647)	Both	positive (concordant)	positive	0.37661609616424396	0.025747392359625934	72	positive	0.36529476460792865	7.394370789164207e-4	173
C9orf78	C9orf78 (ENST00000372447)	Both	positive (concordant)	positive	0.4131671089414855	0.013628907113697047	72	positive	0.33048675427140756	0.002425886486345178	173
C9orf78	C9orf78 (ENST00000461349)	Both	positive (concordant)	positive	0.49480108655539623	0.0025135807820078986	72	positive	0.3009263592454853	0.006011437108229081	173
CAB39	CAB39 (ENST00000258418)	Both	positive (concordant)	positive	0.3886897003028103	0.021022575750356494	72	positive	0.3576326024058516	9.716823058688488e-4	173
CAB39	CAB39 (ENST00000409788)	Both	positive (concordant)	positive	0.5203211179896501	0.0013549281038693474	72	positive	0.4200357358883176	8.54660939861403e-5	173
CALCOCO1	CALCOCO1 (ENST00000549935)	Both	positive (concordant)	positive	0.37424262820753446	0.026772129246243476	72	positive	0.3741358556978908	5.350008484687777e-4	173
CANT1	CANT1 (ENST00000591811)	Both	discordant	negative	-0.33543124116701867	0.048854702049215055	72	positive	0.3102711593316692	0.004555931214422473	173
CBFB	CBFB (ENST00000564034)	Both	positive (concordant)	positive	0.3793132336240482	0.02462239273702101	72	positive	0.3274981334410337	0.0026699270229577593	173
CCAR1	CCAR1 (ENST00000265872)	Both	positive (concordant)	positive	0.5161227809939148	0.0015048760058835053	72	positive	0.31045920818630607	0.004530176991696012	173
CCDC12	CCDC12 (ENST00000494655)	Both	positive (concordant)	positive	0.3369353195839753	0.04778846892698473	72	positive	0.3083009137607155	0.004833690784564867	173
CCDC12	CCDC12 (ENST00000604367)	Both	positive (concordant)	positive	0.37300593805234034	0.027319229034765132	72	positive	0.3176508064428107	0.003637373010029322	173
CCDC47	CCDC47 (ENST00000403162)	Both	positive (concordant)	positive	0.36463091219086335	0.03127115083750122	72	positive	0.3841594789395048	3.665544476792269e-4	173
CCDC66	CCDC66 (ENST00000394672)	Both	positive (concordant)	positive	0.5512003400951457	5.997644549285237e-4	72	positive	0.4685826158841424	9.00446861204015e-6	173
CCDC82	CCDC82 (ENST00000680728)	Both	positive (concordant)	positive	0.44575424589345813	0.007281582488159133	72	positive	0.4192580707680964	8.836323417923982e-5	173
CCDC86	CCDC86 (ENST00000227520)	Both	positive (concordant)	positive	0.40410532955547185	0.016058409676710468	72	positive	0.30563084553143477	0.005234061957446732	173
CCDC88A	CCDC88A (ENST00000643413)	Both	positive (concordant)	positive	0.36168427666745384	0.032768119114532715	72	positive	0.3140592076348861	0.004061462249305143	173
CCT2	CCT2 (ENST00000553169)	Both	positive (concordant)	positive	0.35868006975741845	0.03435405099250428	72	positive	0.3368809150113677	0.0019697856358525875	173
CD164	CD164 (ENST00000499860)	Both	positive (concordant)	positive	0.33470707137154565	0.049374808759795934	72	positive	0.33146929238770406	0.002350145739261264	173
CDC27	CDC27 (ENST00000066544)	Both	positive (concordant)	positive	0.33390881785061316	0.049953245331852546	72	positive	0.4327440817711334	4.8992696343383333e-5	173
CDC42	CDC42 (ENST00000667384)	Both	positive (concordant)	positive	0.4720162854246883	0.004199541455867832	72	positive	0.37965324853019145	4.3512312537860343e-4	173
CDCA5	CDCA5 (ENST00000275517)	Both	positive (concordant)	positive	0.3729722048856841	0.02733428014366131	72	positive	0.31294618180851314	0.004201540167303058	173
CDCA5	CDCA5 (ENST00000479032)	Both	positive (concordant)	positive	0.395429040862498	0.018714783865884748	72	positive	0.35169053335059214	0.0011954240206257397	173
CDK13	CDK13 (ENST00000643859)	Both	positive (concordant)	positive	0.45954310698097073	0.005483050420182094	72	positive	0.35892704527483105	9.28301135373616e-4	173
CENPN	CENPN (ENST00000305850)	Both	positive (concordant)	positive	0.583168711634534	2.3638028629306555e-4	72	positive	0.30839899428565254	0.004819516086468058	173
CENPT	CENPT (ENST00000564128)	Both	positive (concordant)	positive	0.3569343445111593	0.03530398738432652	72	positive	0.322722967084739	0.003105748778166457	173
CENPT	CENPT (ENST00000574569)	Both	positive (concordant)	positive	0.44303457355922293	0.007690342141682937	72	positive	0.30853177125901626	0.004800385811534009	173
CEP192	CEP192 (ENST00000589993)	Both	positive (concordant)	positive	0.34512804019220195	0.04230366695153334	72	positive	0.35201132435660876	0.001182244601131524	173
CEP295	CEP295 (ENST00000530425)	Both	positive (concordant)	positive	0.5062132427954651	0.00191789734134233	72	positive	0.3385291571492599	0.001865494422186432	173
CFAP20	CFAP20 (ENST00000562622)	Both	positive (concordant)	positive	0.4566669059348038	0.0058228142111984085	72	positive	0.45441988149789536	1.7992254467727563e-5	173
CFP	CFP (ENST00000485991)	Both	positive (concordant)	positive	0.3687373916512308	0.029278701186320175	72	positive	0.3489284899783893	0.0013145290769445673	173
CHD9	CHD9 (ENST00000565803)	Both	positive (concordant)	positive	0.3746152254162002	0.02660907541306733	72	positive	0.3259508167739139	0.00280473228877305	173
CHD9	CHD9 (ENST00000566029)	Both	positive (concordant)	positive	0.4323138627528805	0.009498142483322453	72	positive	0.3154072987321588	0.0038973794664309723	173
CHM	CHM (ENST00000615443)	Both	positive (concordant)	positive	0.4292197354996205	0.010082660973761579	72	positive	0.31335528110078137	0.004149561716572111	173
CHUK	CHUK (ENST00000590930)	Both	positive (concordant)	positive	0.52502114584445	0.0012027872846239259	72	positive	0.3106644953108129	0.004502209689991465	173
CLASP1	CLASP1 (ENST00000472776)	Both	positive (concordant)	positive	0.3963364545282297	0.01842084778117457	72	positive	0.36491177280630727	7.497218649750433e-4	173
CLK1	CLK1 (ENST00000321356)	Both	positive (concordant)	positive	1	0	72	positive	1	0	173
CLK1	CLK1 (ENST00000461981)	Both	positive (concordant)	positive	0.3849611952682751	0.022397793971418924	72	positive	0.4270067283711389	6.315763619717047e-5	173
CLK1	CLK1 (ENST00000473565)	Both	positive (concordant)	positive	0.5019495680298057	0.00212414059973165	72	positive	0.5389913377688167	1.7504832210631457e-7	173
CLK1	CLK1 (ENST00000492793)	Both	positive (concordant)	positive	0.3711114492900555	0.02817514280100562	72	positive	0.32678650159022454	0.00273118710692749	173
CLK4	CLK4 (ENST00000316308)	Both	positive (concordant)	positive	0.49276717441994783	0.002635180059700599	72	positive	0.42592166107664386	6.623126838735871e-5	173
CLK4	CLK4 (ENST00000520199)	Both	positive (concordant)	positive	0.47299260420864303	0.004111076123704662	72	positive	0.3150029732416228	0.003945960479590768	173
CLP1	CLP1 (ENST00000533682)	Both	positive (concordant)	positive	0.40490968178727	0.01582902666670373	72	positive	0.34859303226484767	0.001329703467359841	173
CNOT2	CNOT2 (ENST00000551483)	Both	positive (concordant)	positive	0.4490497089984492	0.00681131158955112	72	positive	0.31002697464863394	0.004589567632913393	173
CNOT3	CNOT3 (ENST00000358389)	Both	positive (concordant)	positive	0.41699305632972755	0.012700375878218689	72	positive	0.3021972315289512	0.005791972350354251	173
COL6A1	COL6A1 (ENST00000683550)	Both	discordant	negative	-0.3617129731106714	0.03275326350173097	72	positive	0.3681135338714679	6.676092841812126e-4	173
COMMD2	COMMD2 (ENST00000490008)	Both	positive (concordant)	positive	0.5779438780978601	2.7705212784998534e-4	72	positive	0.30452401551247804	0.005408466164669229	173
COMMD5	COMMD5 (ENST00000450361)	Both	discordant	negative	-0.3624227051678848	0.03238759453817049	72	positive	0.3278687248581386	0.0026385153756047254	173
COPS7B	COPS7B (ENST00000436564)	Both	positive (concordant)	positive	0.3561987514208583	0.03571060823963841	72	positive	0.305636680082716	0.0052331559659491095	173
COQ10B	COQ10B (ENST00000409010)	Both	positive (concordant)	positive	0.42369446756430584	0.01120250207940246	72	positive	0.31819588331043164	0.0035765876053976374	173
COQ9	COQ9 (ENST00000567384)	Both	positive (concordant)	positive	0.5352735535882195	9.220164887427017e-4	72	positive	0.3000524410191736	0.0061665864790013325	173
CPSF7	CPSF7 (ENST00000394888)	Both	positive (concordant)	positive	0.5082320322054114	0.0018265149078182715	72	positive	0.3714942761650247	5.898814683041486e-4	173
CRCP	CRCP (ENST00000338592)	Both	positive (concordant)	positive	0.37295815211995614	0.027340552237600613	72	positive	0.3489624911972575	0.0013129998189817622	173
CREB1	CREB1 (ENST00000353267)	Both	positive (concordant)	positive	0.41632901233755853	0.012857594254814074	72	positive	0.34418467202007885	0.00154439014819595	173
CREBBP	CREBBP (ENST00000576720)	Both	positive (concordant)	positive	0.41798494519356943	0.012468559991743684	72	positive	0.33060171514108594	0.0024169127134994273	173
CREBZF	CREBZF (ENST00000527447)	Both	positive (concordant)	positive	0.4654963044572731	0.004833626591534391	72	positive	0.39025325825432056	2.895463519807069e-4	173
CRIPT	CRIPT (ENST00000238892)	Both	positive (concordant)	positive	0.4398699877240589	0.00819049743296004	72	positive	0.3438308723705272	0.0015629086415935938	173
CSDE1	CSDE1 (ENST00000534699)	Both	positive (concordant)	positive	0.4345990698137632	0.009085162121766091	72	positive	0.3001922125015862	0.006141537238471699	173
CSPP1	CSPP1 (ENST00000678616)	Both	positive (concordant)	positive	0.3593913508968601	0.03397302668612558	72	positive	0.30243870189477806	0.005751083900916562	173
CTCF	CTCF (ENST00000644753)	Both	positive (concordant)	positive	0.5397195795168017	8.194633831150249e-4	72	positive	0.3597089527185203	9.02957233226253e-4	173
CUEDC1	CUEDC1 (ENST00000577830)	Both	discordant	negative	-0.41024273245459514	0.014376604490932476	72	positive	0.3306305095563135	0.0024146697125313954	173
CUEDC1	CUEDC1 (ENST00000584746)	Both	discordant	negative	-0.33586814254492525	0.0485430416280311	72	positive	0.38308209414303207	3.819806656073169e-4	173
CUL3	CUL3 (ENST00000409096)	Both	positive (concordant)	positive	0.35473813740185706	0.036529295456042984	72	positive	0.4259641933377226	6.610821945600407e-5	173
CUL3	CUL3 (ENST00000497715)	Both	positive (concordant)	positive	0.4098405183578031	0.014482089672254742	72	positive	0.43664997815310985	4.110574308034795e-5	173
CWC22	CWC22 (ENST00000404136)	Both	positive (concordant)	positive	0.3868552522322273	0.021690157397381997	72	positive	0.3617809363959962	8.388109327621188e-4	173
CYLD	CYLD (ENST00000569891)	Both	positive (concordant)	positive	0.35794508495589406	0.034751423010307224	72	positive	0.3357064231565586	0.0020472735522677997	173
CYTH2	CYTH2 (ENST00000467412)	Both	positive (concordant)	positive	0.4044625985420205	0.01595618313526949	72	positive	0.4303752133482535	5.443907692263663e-5	173
CZIB	CZIB (ENST00000478839)	Both	positive (concordant)	positive	0.39311338032075743	0.01948266260061599	72	positive	0.3396480625647592	0.00179756020686256	173
DCAF1	DCAF1 (ENST00000684031)	Both	positive (concordant)	positive	0.4487039139304891	0.006859403166271848	72	positive	0.31537876863475395	0.0039007898905781646	173
DCUN1D4	DCUN1D4 (ENST00000513800)	Both	positive (concordant)	positive	0.338797284416687	0.04649445127776305	72	positive	0.3512008100678264	0.001215800803515492	173
