SpliceID	dPSI	Uniprot	Type
CTDSP2:57827533-57827590	-0.141	domain	A5SS
DDX56:44572562-44572744	0.605	domain	A5SS
DDX5:64500986-64501143	-0.118	domain	A5SS
DDX5:64500986-64501143	-0.403	domain	A5SS
DEPDC5:31784813-31785107	0.277	domain	A5SS
DESI2:244653125-244654025	-0.194	domain	A5SS
DMPK:45778492-45779359	0.205	domain	A5SS
EPHA10:37719413-37719607	-0.179	domain	A5SS
ERBB2:39706989-39707204	-0.252	domain	A5SS
ESAM:124754629-124754763	0.3	domain	A5SS
ETF1:138542633-138542936	0.119	domain	A5SS
EVA1C:32501414-32501495	-0.163	domain	A5SS
EVA1C:32501414-32501538	-0.562	domain	A5SS
EWSR1:29288605-29291599	-0.117	domain	A5SS
FCGRT:49513881-49514486	0.165	domain	A5SS
FUZ:49812446-49812736	0.116	domain	A5SS
FUZ:49812446-49812736	-0.179	domain	A5SS
FUZ:49812614-49812736	-0.22	domain	A5SS
GALE:23796508-23796782	-0.138	domain	A5SS
GALT:34648761-34649081	0.216	domain	A5SS
GARS1:30628559-30631541	-0.118	domain	A5SS
GLTP:109857854-109858193	-0.262	domain	A5SS
GORASP1:39100787-39101102	0.185	domain	A5SS
GORASP1:39100787-39101102	0.338	domain	A5SS
HEXA:72347685-72348134	-0.104	domain	A5SS
HEXA:72353690-72355624	0.188	domain	A5SS
HGFAC:3445264-3445896	0.35	domain	A5SS
HMBS:119088634-119088848	0.226	domain	A5SS
HNRNPA1:54282572-54282662	0.395	domain	A5SS
HNRNPA1:54282572-54282665	0.395	domain	A5SS
HNRNPH1:179616868-179616958	-0.105	domain	A5SS
HYI:43451409-43451544	-0.167	domain	A5SS
IDH3B:2658637-2658837	0.115	domain	A5SS
ILKAP:238189852-238189972	-0.235	domain	A5SS
ILKAP:238189858-238189972	-0.306	domain	A5SS
ITGA6:172489484-172489658	-0.108	domain	A5SS
ITSN1:33829005-33829168	-0.264	domain	A5SS
KANSL2:48660365-48660619	-0.159	domain	A5SS
KAT2A:42119053-42119436	0.143	domain	A5SS
KRBOX4:46463197-46463308	0.256	domain	A5SS
LARP7:112644667-112644871	0.171	domain	A5SS
LMO3:16600600-16600868	-0.103	domain	A5SS
LYRM2:89637724-89637882	-0.152	domain	A5SS
MDGA1:37646197-37646375	-0.126	domain	A5SS
METTL25B:156734008-156734493	-0.25	domain	A5SS
MICALL2:1437433-1437608	0.152	domain	A5SS
MID1:10566887-10567603	-0.117	domain	A5SS
MOGS:74464495-74464722	-0.116	domain	A5SS
MRNIP:179853196-179853437	0.462	domain	A5SS
NAA10:153932070-153932431	-0.137	domain	A5SS
NADSYN1:71458427-71458556	0.425	domain	A5SS
NCL:231458265-231459125	0.133	domain	A5SS
P4HTM:49002499-49006187	-0.188	domain	A5SS
PHGDH:119724784-119724957	-0.535	domain	A5SS
PHGDH:119724784-119724967	-0.547	domain	A5SS
PLCD1:38008457-38009158	0.173	domain	A5SS
PLEKHH3:42669917-42670376	-0.158	domain	A5SS
PLK3:44804338-44804779	0.379	domain	A5SS
PNCK:153671879-153672200	-0.182	domain	A5SS
POLD1:50409518-50409666	-0.101	domain	A5SS
POMT1:131504188-131504649	0.268	domain	A5SS
POMT2:77279536-77279928	0.233	domain	A5SS
POMT2:77279683-77279928	0.137	domain	A5SS
RABGGTB:75789158-75790517	-0.105	domain	A5SS
RHOC:112705052-112705168	-0.471	domain	A5SS
RUSC1:155325101-155325490	-0.276	domain	A5SS
SCN9A:166284452-166284824	-0.194	domain	A5SS
SERPINB6:2968778-2968913	-0.148	domain	A5SS
SGCE:94622515-94622626	0.161	domain	A5SS
SPG7:89540943-89542279	-0.346	domain	A5SS
SPRYD3:53074648-53075219	-0.163	domain	A5SS
SYNJ2:158059256-158059537	-0.368	domain	A5SS
TACC1:38827167-38827375	-0.269	domain	A5SS
TARDBP:11022123-11022250	0.307	domain	A5SS
TBCE:235438768-235438988	-0.243	domain	A5SS
TCTN3:95682650-95683629	-0.116	domain	A5SS
TIA1:70216752-70216994	0.113	domain	A5SS
TPP1:6617625-6618915	-0.189	domain	A5SS
TRMT10B:37763628-37763865	0.18	domain	A5SS
TRMT1:13116171-13116431	-0.255	domain	A5SS
TRO:54928602-54931031	0.121	domain	A5SS
UBQLN1:83666349-83669327	0.13	domain	A5SS
UBR1:43025373-43026663	-0.146	domain	A5SS
ULK3:74837750-74837798	0.151	domain	A5SS
UPP1:48101823-48101982	0.135	domain	A5SS
UROS:125802949-125803024	0.483	domain	A5SS
WBP1:74458831-74459117	-0.189	domain	A5SS
WDR26:224431476-224431581	-0.136	domain	A5SS
WDR90:662672-663064	0.109	domain	A5SS
YPEL1:21710486-21710908	-0.121	domain	A5SS
ZNF550:57543650-57544583	-0.356	domain	A5SS
ZNF652:49316825-49317983	0.139	domain	A5SS
ZNF827:145764974-145765165	-0.243	domain	A5SS
